clade_name	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia	17	7	17	32	20	9	35	49	10	2	28	27	37	62	14	407	369	1620	636	199
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	17	7	17	32	20	9	35	49	10	2	28	27	37	62	14	407	369	1620	636	199
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae	17	7	17	32	20	9	35	49	10	2	28	27	37	62	14	407	369	1620	636	199
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus	17	7	17	32	20	9	35	49	10	2	28	27	37	62	14	407	369	1620	636	199
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_sp._'AMD_consortium'	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	53	0	145	0	2
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferridurans	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_caldus	12	1	3	6	10	1	5	16	2	1	6	4	12	7	6	146	109	141	54	42
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrooxidans	0	0	1	0	0	1	5	4	2	0	1	1	3	1	0	39	68	168	9	38
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus_ferrivorans	4	5	12	25	9	7	16	28	5	0	20	21	21	53	7	164	191	1165	573	115
d__Bacteria|p__Proteobacteria|c__Oligoflexia	90	34	123	110	110	64	162	310	130	14	189	245	527	339	79	4610	1569	4577	1579	528
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	13	8	40	36	17	21	43	91	45	2	55	66	84	95	20	490	303	373	112	34
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|s__Silvanigrellales_bacterium_RF1110005	6	3	16	8	10	10	15	34	19	1	24	40	48	54	8	243	129	122	26	11
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae	7	5	24	28	7	11	27	56	25	1	31	26	35	40	12	247	174	251	85	22
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae|g__Silvanigrella	7	5	24	28	7	11	27	56	25	1	31	26	35	40	12	247	174	251	85	22
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae|g__Silvanigrella|s__Silvanigrella_aquatica	7	5	24	28	7	11	27	56	25	1	31	26	35	40	12	247	174	251	85	22
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	21	14	24	20	35	19	58	120	36	9	87	88	295	126	32	1768	432	1208	672	40
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae	10	1	5	5	7	5	11	41	2	2	14	35	28	37	13	907	191	423	345	18
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax	10	1	5	5	7	5	11	41	2	2	14	35	28	37	13	907	191	423	345	18
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax|s__Bacteriovorax_stolpii	10	1	5	5	7	5	11	41	2	2	14	35	28	37	13	907	191	423	345	18
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae	11	13	19	15	27	14	47	79	34	7	73	53	267	89	19	861	241	785	327	22
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax	11	13	19	15	27	14	47	79	34	7	73	53	267	89	19	861	241	785	327	22
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax|s__Halobacteriovorax_marinus	7	10	7	7	14	11	28	55	30	7	58	22	247	77	11	393	105	521	244	14
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax|s__Halobacteriovorax_sp._BALOs_7	4	3	12	7	13	3	19	23	4	0	15	31	20	11	8	467	136	264	83	7
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	56	12	59	54	58	24	61	99	49	3	47	91	148	118	27	2352	834	2995	795	454
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae	56	12	59	54	58	24	61	99	49	3	47	91	148	118	27	2352	834	2995	795	454
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio	56	12	59	54	58	24	61	99	49	3	47	91	148	118	27	2352	834	2995	795	454
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_exovorus	15	2	8	10	5	3	15	34	10	0	10	16	17	32	5	93	64	238	118	7
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_sp._NC01	14	2	4	8	12	1	3	9	5	1	7	13	34	8	7	278	87	208	141	10
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_sp._ZAP7	5	1	15	11	10	8	7	14	15	1	8	5	17	16	5	532	103	168	53	13
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_bacteriovorus	20	5	30	23	29	10	35	40	19	1	21	56	78	60	9	1447	579	2380	481	423
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1369	594	2411	3247	1909	1837	4700	8882	3859	658	4372	5675	8940	10604	2273	231083	259971	457057	252614	49918
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	15	0	8	5	11	5	4	15	7	4	8	15	10	18	12	125	78	196	110	59
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae	15	0	8	5	11	5	4	15	7	4	8	15	10	18	12	125	78	196	110	59
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae|g__Magnetococcus	15	0	8	5	11	5	4	15	7	4	8	15	10	18	12	125	78	196	110	59
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae|g__Magnetococcus|s__Magnetococcus_marinus	15	0	8	5	11	5	4	15	7	4	8	15	10	18	12	125	78	196	110	59
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	1	3	5	8	4	1	11	15	4	0	3	17	13	39	5	43	15	915	207	136
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae	1	3	5	8	4	1	11	15	4	0	3	17	13	39	5	43	15	915	207	136
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Parvularcula	1	3	5	8	4	1	11	15	4	0	3	17	13	39	5	43	15	915	207	136
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Parvularcula|s__Parvularcula_bermudensis	1	3	5	8	4	1	11	15	4	0	3	17	13	39	5	43	15	915	207	136
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	5	3	13	9	12	7	18	37	9	0	10	18	13	35	6	277	104	599	404	87
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae	5	3	13	9	12	7	18	37	9	0	10	18	13	35	6	277	104	599	404	87
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter	5	3	13	9	12	7	18	37	9	0	10	18	13	35	6	277	104	599	404	87
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter|s__Emcibacter_sp._MEBiC09520	1	2	6	3	4	7	17	10	5	0	5	15	10	17	1	145	80	161	46	27
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter|s__Emcibacter_congregatus	4	1	7	6	8	0	1	27	4	0	5	3	3	18	5	131	24	438	358	59
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	11	13	55	41	17	19	28	80	73	6	41	54	58	88	14	1049	606	668	342	67
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae	0	5	6	6	0	1	1	31	4	1	6	10	11	21	1	435	181	45	132	24
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter	0	5	6	6	0	1	1	31	4	1	6	10	11	21	1	435	181	45	132	24
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter|s__Candidatus_Paracaedibacter_acanthamoebae	0	5	6	6	0	1	1	31	4	1	6	10	11	21	1	435	181	45	132	24
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae	8	8	42	26	14	15	16	40	57	2	29	26	37	48	12	282	162	405	123	34
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|s__endosymbiont_of_Acanthamoeba_sp._UWC8	3	1	1	4	3	3	7	7	11	0	9	7	14	20	1	63	57	116	17	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Nesciobacter	1	0	2	2	3	4	5	8	10	2	15	10	16	8	3	152	87	13	6	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Nesciobacter|s__Candidatus_Nesciobacter_abundans	1	0	2	2	3	4	5	8	10	2	15	10	16	8	3	152	87	13	6	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter	4	7	38	20	7	8	4	25	36	0	5	8	7	20	8	66	17	276	100	22
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter|s__Candidatus_Cytomitobacter_indipagum	0	0	10	7	4	2	0	10	1	0	1	2	2	9	8	51	11	80	67	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter|s__Candidatus_Cytomitobacter_primus	4	7	28	12	2	6	4	14	35	0	4	6	4	10	0	15	6	196	32	20
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae	3	0	7	8	3	3	11	9	11	3	5	18	10	19	1	331	262	217	87	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Candidatus_Nucleicultrix	3	0	7	8	3	3	11	9	11	3	5	18	10	19	1	331	262	217	87	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Candidatus_Nucleicultrix|s__Candidatus_Nucleicultrix_amoebiphila	3	0	7	8	3	3	11	9	11	3	5	18	10	19	1	331	262	217	87	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Micavibrio	1	1	8	8	1	4	20	21	8	0	15	21	7	15	6	197	67	488	235	44
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Micavibrio|s__Micavibrio_aeruginosavorus	1	1	8	8	1	4	20	21	8	0	15	21	7	15	6	197	67	488	235	44
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Candidatus_Puniceispirillum	2	3	10	5	0	6	2	5	1	3	0	0	5	8	1	149	34	109	64	9
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Candidatus_Puniceispirillum|s__Candidatus_Puniceispirillum_marinum	2	3	10	5	0	6	2	5	1	3	0	0	5	8	1	149	34	109	64	9
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Phreatobacter	5	1	3	15	7	4	17	84	23	4	43	35	57	72	7	817	450	2302	588	540
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Phreatobacter|s__Phreatobacter_cathodiphilus	3	0	1	4	0	0	2	14	5	0	11	18	24	41	1	254	165	503	82	172
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Phreatobacter|s__Phreatobacter_stygius	0	0	2	4	5	3	10	26	5	3	24	11	29	21	3	178	163	1706	332	276
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Phreatobacter|s__Phreatobacter_sp._NMCR1094	2	1	0	6	2	1	5	42	12	1	7	5	3	9	3	383	121	92	173	92
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__Alphaproteobacteria_bacterium_WS11	1	0	6	0	4	3	3	16	9	1	9	6	23	21	6	304	249	3366	528	343
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Polymorphum	1	0	0	4	2	4	0	21	1	3	9	9	35	42	7	151	45	277	155	72
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Polymorphum|s__Polymorphum_gilvum	1	0	0	4	2	4	0	21	1	3	9	9	35	42	7	151	45	277	155	72
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	30	27	61	62	44	30	78	149	73	9	115	111	166	216	22	1754	744	1258	623	102
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|g__Candidatus_Fonsibacter	1	2	6	10	1	3	9	19	4	1	2	9	10	19	0	48	23	167	78	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|g__Candidatus_Fonsibacter|s__Candidatus_Fonsibacter_ubiquis	1	2	6	10	1	3	9	19	4	1	2	9	10	19	0	48	23	167	78	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae	29	25	55	52	43	27	69	130	69	8	113	102	156	197	22	1706	721	1091	545	97
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter	23	18	38	44	32	17	53	105	54	6	84	72	132	152	21	1422	647	656	429	66
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_ubique	3	4	19	6	2	2	8	26	4	0	18	9	28	26	11	238	117	157	68	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_sp._IMCC9063	4	2	1	5	4	3	2	17	4	2	1	5	19	14	1	423	125	176	213	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_sp._HIMB1321	4	2	5	4	5	5	3	14	12	2	34	30	37	23	2	289	196	131	70	32
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_sp._RS39	2	0	2	5	10	4	17	13	13	2	19	10	24	16	7	108	35	42	9	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_sp._RS40	5	6	4	12	7	1	22	17	1	0	7	12	9	15	0	88	39	106	31	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_sp._FZCC0015	5	4	6	10	4	2	1	17	20	0	5	4	13	56	0	272	133	41	36	10
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__alpha_proteobacterium_HIMB59	4	4	16	6	7	1	0	3	1	1	1	13	5	19	0	115	67	397	111	27
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__alpha_proteobacterium_HIMB5	2	3	1	2	4	9	15	21	14	1	27	16	19	26	1	168	6	37	5	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	89	45	217	166	79	108	264	557	256	13	230	415	429	548	136	2570	1151	4126	1191	225
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae	5	5	7	9	6	9	8	12	35	0	11	25	25	22	1	274	184	155	35	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae|g__Candidatus_Midichloria	3	2	4	5	3	1	5	7	23	0	4	7	8	11	0	182	89	37	13	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae|g__Candidatus_Midichloria|s__Candidatus_Midichloria_mitochondrii	3	2	4	5	3	1	5	7	23	0	4	7	8	11	0	182	89	37	13	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae|g__Candidatus_Fokinia	2	3	3	4	3	8	3	5	12	0	7	18	17	11	1	92	95	118	22	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae|g__Candidatus_Fokinia|s__Candidatus_Fokinia_solitaria	2	3	3	4	3	8	3	5	12	0	7	18	17	11	1	92	95	118	22	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Deianiraeaceae	4	1	7	4	0	6	15	34	8	1	14	20	3	62	15	16	12	850	46	11
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Deianiraeaceae|g__Candidatus_Deianiraea	4	1	7	4	0	6	15	34	8	1	14	20	3	62	15	16	12	850	46	11
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Deianiraeaceae|g__Candidatus_Deianiraea|s__Candidatus_Deianiraea_vastatrix	4	1	7	4	0	6	15	34	8	1	14	20	3	62	15	16	12	850	46	11
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|s__Rickettsiales_endosymbiont_of_Stachyamoeba_lipophora	1	3	14	5	2	5	9	50	7	0	7	21	18	17	0	105	52	67	5	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|s__Rickettsiales_bacterium_Ac37b	6	0	15	12	2	9	25	74	4	0	10	16	18	31	3	208	47	306	139	19
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	41	19	75	81	40	32	118	195	98	6	69	125	140	197	63	1132	557	1950	778	95
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma	5	1	6	6	3	2	8	12	9	1	9	9	15	29	8	323	183	261	189	34
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma|s__Anaplasma_marginale	3	0	1	0	0	0	0	0	0	0	1	0	2	0	0	53	15	80	76	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma|s__Anaplasma_centrale	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	196	90	13	9	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma|s__Anaplasma_phagocytophilum	1	0	4	2	1	1	2	10	6	1	3	3	8	14	8	63	33	115	71	10
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma|s__Anaplasma_ovis	1	1	1	3	2	1	6	2	3	0	5	6	2	14	0	10	45	51	32	16
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Neorickettsia	3	1	7	6	2	0	1	1	14	0	0	4	22	5	1	47	58	72	39	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Neorickettsia|s__Neorickettsia_sennetsu	0	0	2	2	0	0	1	0	5	0	0	0	2	1	1	15	13	15	7	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Neorickettsia|s__Neorickettsia_helminthoeca	3	1	4	3	0	0	0	1	6	0	0	4	19	4	0	20	28	57	4	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Neorickettsia|s__Neorickettsia_risticii	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	11	16	0	27	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia	12	11	26	45	16	16	48	115	45	5	37	58	45	64	47	198	123	389	172	26
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__Ehrlichia_muris	0	2	3	3	3	3	6	31	1	0	16	14	6	9	1	23	2	137	76	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__Ehrlichia_sp._HF	7	1	5	8	0	3	9	4	7	0	13	14	6	9	2	73	13	24	10	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__Ehrlichia_canis	1	1	10	6	8	4	2	24	20	0	4	16	14	22	26	40	10	98	41	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__Ehrlichia_ruminantium	1	5	3	14	2	5	21	49	11	4	2	9	13	13	16	35	88	39	30	13
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__Ehrlichia_chaffeensis	2	2	4	12	1	0	8	6	4	1	2	4	4	9	0	26	8	90	13	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	21	5	36	24	19	14	61	66	30	0	23	53	58	98	7	563	193	1227	378	35
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Drosophila_simulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	3	17	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Culex_quinquefasciatus	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	30	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Chrysomya_megacephala	0	0	0	0	6	0	0	2	6	0	0	26	31	11	0	348	166	34	14	17
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_pipientis	0	0	16	16	2	14	44	42	12	0	0	0	0	30	0	9	6	1016	272	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Carposina_sasakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Drosophila_incompta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Onchocerca_volvulus	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2	12	0	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Trichogramma_pretiosum	0	0	0	0	0	0	4	4	0	0	0	7	2	9	5	36	4	7	3	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Onchocerca_ochengi	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	7	20	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Bemisia_tabaci	12	0	0	4	4	0	0	3	0	0	0	6	0	0	0	71	3	1	0	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Brugia_malayi	5	2	0	1	0	0	5	4	1	0	1	6	4	2	2	13	2	13	1	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Folsomia_candida	1	0	3	1	3	0	6	6	9	0	5	5	7	19	0	27	7	122	15	12
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Cimex_lectularius	3	2	16	1	2	0	0	4	1	0	1	1	10	23	0	18	2	9	3	0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae	31	16	99	54	29	46	89	192	103	6	119	208	223	217	53	832	299	796	187	93
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Candidatus_Phycorickettsia	1	1	1	4	1	3	6	13	5	0	3	6	9	7	3	24	3	23	1	11
